MID,PMID,Journal_name,JIF,Conclusion,Model_Name,Model_Type,AUC_value,AUC,Specificity,Sensitivity,Accuracy,Research_Type,Involved_Factors,Year,Year_value,Area,Country,Cancer_Type,Abstract
631,21288178,Clin Chem Lab Med,3.8,"The ROMA is a simple scoring system which shows excellent diagnostic performance for the detection of EOC in post-menopausal women, but not in pre-menopausal women.",The ROMA (Risk of Ovarian Malignancy Algorithm),Logistic Regression,0.77-0.92,more than 0.8,,,,development,"Ca125, He4, Menopausal Status",,2011,Europe,Italy,Ovarian Cancer,"Background: The study is aimed at evaluating the performance of the predictive model ROMA (Risk of Ovarian Malignancy Algorithm), which utilizes the combination of human epididymis protein 4 (HE4) and CA125 values to assess the risk of epithelial ovarian cancer (EOC) in women with a pelvic mass.
Methods: One hundred and four women diagnosed with a pelvic mass (55 EOC and 49 benign cases) and scheduled to have surgery were enrolled, along with 49 healthy females. Preoperative serum concentrations of HE4 and CA125 were measured. Separate logistic regression algorithms ROMA for pre-menopausal and post-menopausal women were used to categorize patients into low- and high-risk groups for EOC. The area under the curve (AUC), sensitivity and specificity were calculated for HE4, CA125 and ROMA for the diagnosis of ovarian cancer using receiver operating characteristic (ROC) analysis.
Results: The median CA125 and HE4 serum concentrations were significantly higher among EOC patients than in healthy females (both p<0.05) and those with a benign mass (both p<0.05). The pre-menopausal group included 36 benign cases (29 of which were classified by ROMA as low-risk with a specificity of 80.6%; 95% CI: 64.0%-91.8%), and 15 EOC (eight of which were classified by ROMA as high-risk, with a sensitivity of 53.3%; 95% CI: 26.6%-78.7%). The post-menopausal group enclosed 13 benign cases (11 of which were classified by ROMA as low-risk with a specificity of 84.6%; 95% CI: 54.6%-98.0%), and 40 EOC (33 of which were classified by ROMA as high-risk with a sensitivity of 82.5%; 95% CI: 67.2%-92.7%). In the pre-menopausal group, the AUC was 0.64 (p=0.12, 95% CI: 0.44-0.83) for CA125, 0.77 (p=0.003, 95% CI: 0.62-0.92) for HE4 and 0.77 (p=0.002, 95% CI: 0.63-0.92) for ROMA. In the post-menopausal group, the AUC was 0.84 (p=0.0003, 95% CI: 0.73-0.94) for CA125, 0.94 (p<0.0001, 95% CI: 0.88-0.99) for HE4 and 0.92 (p<0.0001, 95% CI: 0.85-0.99) for ROMA.
Conclusions: The ROMA is a simple scoring system which shows excellent diagnostic performance for the detection of EOC in post-menopausal women, but not in pre-menopausal women. Moreover, the dual marker combination of HE4 and CA125 (ROMA) does not show better performance than HE4 alone."
632,21218035,J Korean Med Sci,3,The KPCRC improved the performance of PSA testing alone in predicting the risk of prostate cancer in a Korean population.This calculator would be a practical tool for physicians and patients,Korean prostate cancer risk calculator (KPCRC),Logistic Regression,0.91,more than 0.8,,,,development,"Age, Dre Findings, Prostate Specific Antigen Level, And Prostate Transitional Zone Volume",,2011,Asia,Korea,Prostate Cancer,"We developed and validated a novel Korean prostate cancer risk calculator (KPCRC) for predicting the probability of a positive initial prostate biopsy in a Korean population. Data were collected from 602 Koreans who underwent initial prostate biopsies due to an increased level of prostate-specific antigen (PSA), a palpable nodule upon digital rectal examination (DRE), or a hypoechoic lesion upon transrectal ultrasound (TRUS). The clinical and laboratory variables were analyzed by simple and multiple logistic regression analysis. The area under the receiver operating characteristic curve (AUC) was computed to compare its performance to PSA testing alone. Prostate cancer was detected in 172 (28.6%) men. Independent predictors included age, DRE findings, PSA level, and prostate transitional zone volume. We developed the KPCRC using these variables. The AUC for the selected model was 0.91, and that of PSA testing alone was 0.83 (P < 0.001). The AUC for the selected model with an additional dataset was 0.79, and that of PSA testing alone was 0.73 (P = 0.004). The calculator is available on the website: http://pcrc.korea.ac.kr. The KPCRC improved the performance of PSA testing alone in predicting the risk of prostate cancer in a Korean population. This calculator would be a practical tool for physicians and patients."
633,21163642,Eur J Cancer,7.6,"The ERSPC risk calculator discriminated well between those with and without prostate cancer among initially screened men, but overestimated the risk of a positive biopsy.Further research is necessary to assess the performance and applicability of the ERSPC risk calculator when a clinical setting is considered rather than a screening setting.",The ERSPC risk calculator,Logistic Regression,0.76-0.78,,,,,validation,"Serum Prostate Specific Antigen, Outcome Of Digital Rectal Examination (dre), Transrectal Ultrasound And Ultrasound Assessed Prostate Volume",,2011,Europe,"Finland, Sweden",Prostate Cancer,"Background: Prediction models need external validation to assess their value beyond the setting where the model was derived from.
Objective: To assess the external validity of the European Randomized study of Screening for Prostate Cancer (ERSPC) risk calculator (www.prostatecancer-riskcalculator.com) for the probability of having a positive prostate biopsy (P(posb)).
Design, setting and participants: The ERSPC risk calculator was based on data of the initial screening round of the ERSPC section Rotterdam and validated in 1825 and 531 men biopsied at the initial screening round in the Finnish and Swedish sections of the ERSPC respectively. P(posb) was calculated using serum prostate specific antigen (PSA), outcome of digital rectal examination (DRE), transrectal ultrasound and ultrasound assessed prostate volume.
Measurements: The external validity was assessed for the presence of cancer at biopsy by calibration (agreement between observed and predicted outcomes), discrimination (separation of those with and without cancer), and decision curves (for clinical usefulness).
Results and limitations: Prostate cancer was detected in 469 men (26%) of the Finnish cohort and in 124 men (23%) of the Swedish cohort. Systematic miscalibration was present in both cohorts (mean predicted probability 34% versus 26% observed, and 29% versus 23% observed, both p<0.001). The areas under the curves were 0.76 and 0.78, and substantially lower for the model with PSA only (0.64 and 0.68 respectively). The model proved clinically useful for any decision threshold compared with a model with PSA only, PSA and DRE, or biopsying all men. A limitation is that the model is based on sextant biopsies results.
Conclusions: The ERSPC risk calculator discriminated well between those with and without prostate cancer among initially screened men, but overestimated the risk of a positive biopsy. Further research is necessary to assess the performance and applicability of the ERSPC risk calculator when a clinical setting is considered rather than a screening setting."
634,21140453,Int J Cancer,5.7,"The fitted model is validated against independent data from the control arm of a lung cancer chemoprevention trial, CARET, where it accurately predicted the number of lung cancer deaths observed.",,A Two-stage Clonal Expansion (tsce) Model,,,,,,development,Gender And Smoking History,,2011,America,USA,Lung Cancer,"Lung cancer is the leading cancer killer for both men and women worldwide. Over 80% of lung cancers are attributed to smoking. In this analysis, the authors propose to use a two-stage clonal expansion (TSCE) model to predict an individual's lung cancer risk based on gender and smoking history. The TSCE model is traditionally fitted to prospective cohort data. Here, the authors describe a new method that allows for the reconstruction of cohort data from the combination of risk factor data obtained from a case-control study, and tabled incidence/mortality rate data, and discuss alternative approaches. The method is applied to fit a TSCE model based on smoking. The fitted model is validated against independent data from the control arm of a lung cancer chemoprevention trial, CARET, where it accurately predicted the number of lung cancer deaths observed."
635,21116847,Ann Biomed Eng,3,The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance.,,Artificial Neural Network,0.81,more than 0.8,,,,development,Eis Signal-based Features,,2011,America,USA,Breast Cancer,"This study aims to improve breast cancer risk stratification. A seven-probe resonance-frequency-based electrical impedance spectroscopy (REIS) system was designed, assembled, and utilized to establish a data set of examinations from 174 women. Three classifiers, including artificial neural network (ANN), support vector machine (SVM), and Gaussian mixture model (GMM), were independently developed to predict the likelihood of each woman to be recommended for biopsy. The performances of these classifiers were compared, and seven fusion methods for integrating these classifiers were investigated. The results showed that among the three classifiers, the ANN yielded the highest performance with an area under the curve (AUC) of 0.81 for the receiver operating characteristic (ROC), while SVM and GMM achieved AUCs of 0.80 and 0.78, respectively. Improvements of up to 3% were obtained using fusion of the three classifiers, with the largest improvement obtained using either a ""minimum score"" rule or a ""weighted sum"" rule. Comparing different combinations of two out of the three classifiers, the weighted sum rule provided the most robust and consistent results, with AUCs of 0.81, 0.83, and 0.82 for the different combinations of ANN and SVM, ANN and GMM, and SVM and GMM, respectively. Furthermore, at 90% specificity, the ANN, the weighted sum- and min rule-based classifiers, all detected 67% of the verified cancer cases as compared with 50, 50, and 60% detection of the high risk cases, respectively. The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance."
636,21116847,Ann Biomed Eng,3,The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance.,,Support Vector Machine,0.8,more than 0.8,,,,development,Eis Signal-based Features,,2011,America,USA,Breast Cancer,"This study aims to improve breast cancer risk stratification. A seven-probe resonance-frequency-based electrical impedance spectroscopy (REIS) system was designed, assembled, and utilized to establish a data set of examinations from 174 women. Three classifiers, including artificial neural network (ANN), support vector machine (SVM), and Gaussian mixture model (GMM), were independently developed to predict the likelihood of each woman to be recommended for biopsy. The performances of these classifiers were compared, and seven fusion methods for integrating these classifiers were investigated. The results showed that among the three classifiers, the ANN yielded the highest performance with an area under the curve (AUC) of 0.81 for the receiver operating characteristic (ROC), while SVM and GMM achieved AUCs of 0.80 and 0.78, respectively. Improvements of up to 3% were obtained using fusion of the three classifiers, with the largest improvement obtained using either a ""minimum score"" rule or a ""weighted sum"" rule. Comparing different combinations of two out of the three classifiers, the weighted sum rule provided the most robust and consistent results, with AUCs of 0.81, 0.83, and 0.82 for the different combinations of ANN and SVM, ANN and GMM, and SVM and GMM, respectively. Furthermore, at 90% specificity, the ANN, the weighted sum- and min rule-based classifiers, all detected 67% of the verified cancer cases as compared with 50, 50, and 60% detection of the high risk cases, respectively. The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance."
637,21116847,Ann Biomed Eng,3,The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance.,,Gaussian Mixture Model (gmm),0.78,,,,,development,Eis Signal-based Features,,2011,America,USA,Breast Cancer,"This study aims to improve breast cancer risk stratification. A seven-probe resonance-frequency-based electrical impedance spectroscopy (REIS) system was designed, assembled, and utilized to establish a data set of examinations from 174 women. Three classifiers, including artificial neural network (ANN), support vector machine (SVM), and Gaussian mixture model (GMM), were independently developed to predict the likelihood of each woman to be recommended for biopsy. The performances of these classifiers were compared, and seven fusion methods for integrating these classifiers were investigated. The results showed that among the three classifiers, the ANN yielded the highest performance with an area under the curve (AUC) of 0.81 for the receiver operating characteristic (ROC), while SVM and GMM achieved AUCs of 0.80 and 0.78, respectively. Improvements of up to 3% were obtained using fusion of the three classifiers, with the largest improvement obtained using either a ""minimum score"" rule or a ""weighted sum"" rule. Comparing different combinations of two out of the three classifiers, the weighted sum rule provided the most robust and consistent results, with AUCs of 0.81, 0.83, and 0.82 for the different combinations of ANN and SVM, ANN and GMM, and SVM and GMM, respectively. Furthermore, at 90% specificity, the ANN, the weighted sum- and min rule-based classifiers, all detected 67% of the verified cancer cases as compared with 50, 50, and 60% detection of the high risk cases, respectively. The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance."
638,21116847,Ann Biomed Eng,3,The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance.,,Artificial Neural Network And Support Vector Machine,0.81,more than 0.8,,,,development,Eis Signal-based Features,,2011,America,USA,Breast Cancer,"This study aims to improve breast cancer risk stratification. A seven-probe resonance-frequency-based electrical impedance spectroscopy (REIS) system was designed, assembled, and utilized to establish a data set of examinations from 174 women. Three classifiers, including artificial neural network (ANN), support vector machine (SVM), and Gaussian mixture model (GMM), were independently developed to predict the likelihood of each woman to be recommended for biopsy. The performances of these classifiers were compared, and seven fusion methods for integrating these classifiers were investigated. The results showed that among the three classifiers, the ANN yielded the highest performance with an area under the curve (AUC) of 0.81 for the receiver operating characteristic (ROC), while SVM and GMM achieved AUCs of 0.80 and 0.78, respectively. Improvements of up to 3% were obtained using fusion of the three classifiers, with the largest improvement obtained using either a ""minimum score"" rule or a ""weighted sum"" rule. Comparing different combinations of two out of the three classifiers, the weighted sum rule provided the most robust and consistent results, with AUCs of 0.81, 0.83, and 0.82 for the different combinations of ANN and SVM, ANN and GMM, and SVM and GMM, respectively. Furthermore, at 90% specificity, the ANN, the weighted sum- and min rule-based classifiers, all detected 67% of the verified cancer cases as compared with 50, 50, and 60% detection of the high risk cases, respectively. The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance."
639,21116847,Ann Biomed Eng,3,The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance.,,Artificial Neural Network And Gmm,0.83,more than 0.8,,,,development,Eis Signal-based Features,,2011,America,USA,Breast Cancer,"This study aims to improve breast cancer risk stratification. A seven-probe resonance-frequency-based electrical impedance spectroscopy (REIS) system was designed, assembled, and utilized to establish a data set of examinations from 174 women. Three classifiers, including artificial neural network (ANN), support vector machine (SVM), and Gaussian mixture model (GMM), were independently developed to predict the likelihood of each woman to be recommended for biopsy. The performances of these classifiers were compared, and seven fusion methods for integrating these classifiers were investigated. The results showed that among the three classifiers, the ANN yielded the highest performance with an area under the curve (AUC) of 0.81 for the receiver operating characteristic (ROC), while SVM and GMM achieved AUCs of 0.80 and 0.78, respectively. Improvements of up to 3% were obtained using fusion of the three classifiers, with the largest improvement obtained using either a ""minimum score"" rule or a ""weighted sum"" rule. Comparing different combinations of two out of the three classifiers, the weighted sum rule provided the most robust and consistent results, with AUCs of 0.81, 0.83, and 0.82 for the different combinations of ANN and SVM, ANN and GMM, and SVM and GMM, respectively. Furthermore, at 90% specificity, the ANN, the weighted sum- and min rule-based classifiers, all detected 67% of the verified cancer cases as compared with 50, 50, and 60% detection of the high risk cases, respectively. The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance."
640,21116847,Ann Biomed Eng,3,The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance.,,Support Vector Machine And Gmm,0.82,more than 0.8,,,,development,Eis Signal-based Features,,2011,America,USA,Breast Cancer,"This study aims to improve breast cancer risk stratification. A seven-probe resonance-frequency-based electrical impedance spectroscopy (REIS) system was designed, assembled, and utilized to establish a data set of examinations from 174 women. Three classifiers, including artificial neural network (ANN), support vector machine (SVM), and Gaussian mixture model (GMM), were independently developed to predict the likelihood of each woman to be recommended for biopsy. The performances of these classifiers were compared, and seven fusion methods for integrating these classifiers were investigated. The results showed that among the three classifiers, the ANN yielded the highest performance with an area under the curve (AUC) of 0.81 for the receiver operating characteristic (ROC), while SVM and GMM achieved AUCs of 0.80 and 0.78, respectively. Improvements of up to 3% were obtained using fusion of the three classifiers, with the largest improvement obtained using either a ""minimum score"" rule or a ""weighted sum"" rule. Comparing different combinations of two out of the three classifiers, the weighted sum rule provided the most robust and consistent results, with AUCs of 0.81, 0.83, and 0.82 for the different combinations of ANN and SVM, ANN and GMM, and SVM and GMM, respectively. Furthermore, at 90% specificity, the ANN, the weighted sum- and min rule-based classifiers, all detected 67% of the verified cancer cases as compared with 50, 50, and 60% detection of the high risk cases, respectively. The study demonstrated that REIS examinations provide relevant information for developing breast cancer risk stratification tools and that using fusion of several not-fully-correlated classifiers can improve classification performance."
641,21114434,Scand J Gastroenterol,1.6,The prediction rule can provide available risk stratification for pancreatic cancer in chronic pancreatitis patients with focal mass lesions with prior negative EUS-FNA cytology.Application of risk stratification may improve clinical decision making.,,Logistic Regression,0.72,,,,,development,"Sex, Mass Location, Mass Number, Direct Bilirubin, And Ca 19-9",,2011,America,USA,Pancreatic Cancer,"Objective: Considerable false-negative endoscopic ultrasound guided fine needle aspiration (EUS-FNA) findings exist in chronic pancreatitis patients with focal pancreatic mass lesions. Our aim was to develop a prediction rule to stratify risk for pancreatic cancer in chronic pancreatitis patients with focal pancreatic mass lesions with prior negative EUS-FNA cytology.
Material and methods: A total of 138 eligible consecutive patients were identified from three hospitals between January 2000 and May 2008. A final diagnosis of pancreatic mass lesions was confirmed histologically or verified by a follow-up of at least 12 months. A prediction rule was developed from a logistic regression model by using a regression coefficient-based scoring method, and then internally validated by using bootstrapping.
Results: The rate of pancreatic cancer in the cohort was 18.1%. The prediction rule, which was scored from 0 to 10 points, comprised five variables: sex, mass location, mass number, direct bilirubin, and CA 19-9. Among the 87.7% of patients with low-risk scores (鈮 3), the risk of pancreatic cancer was 13.2%; by comparison, this risk was 52.9% (p < 0.001) among the 12.3% of patients with high-risk scores (> 3). If further invasive tests were used for patients with high risk, 36% of patients with pancreatic cancer would not be missed. The prediction rule had good discrimination (area under the receiver operating characteristic curve, 0.72) and calibration (p = 0.96).
Conclusions: The prediction rule can provide available risk stratification for pancreatic cancer in chronic pancreatitis patients with focal mass lesions with prior negative EUS-FNA cytology. Application of risk stratification may improve clinical decision making."
642,20961457,BMC Med Res Methodol,3.9,"We have developed models that successfully discriminate between benign, borderline, and invasive ovarian tumors. Methodologically, the combination of dichotomous models was an interesting approach to tackle the polytomous problem. Standard logistic regression models were not outperformed by regularized kernel-based alternatives, a finding to which the careful variable selection procedure will have contributed. The random discrimination between primary and metastatic invasive tumors on temporal/external validation demonstrated once more the necessity of validation studie",,Logistic Regression And On Penalized Kernel-based Algorithms (least Squares Support Vector Machines And Kernel Logistic Regression),0.64-0.69,,,,,development,"Age, Maximum Diameter Of Mass, Maximum Diameter Of Solid Part, Number Of Papillations, Ascites, Entirely Solid Tumor, Irregular Internal Cyst Walls, Personal History Of Ovarian Cancer, Bilateral Tumors, Papillary Structures With Blood Flow, Acoustic Shadows, Unilocular Tumor Without Solid Component",,2010,America,USA,Ovarian Tumor,"Background: Hitherto, risk prediction models for preoperative ultrasound-based diagnosis of ovarian tumors were dichotomous (benign versus malignant). We develop and validate polytomous models (models that predict more than two events) to diagnose ovarian tumors as benign, borderline, primary invasive or metastatic invasive. The main focus is on how different types of models perform and compare.
Methods: A multi-center dataset containing 1066 women was used for model development and internal validation, whilst another multi-center dataset of 1938 women was used for temporal and external validation. Models were based on standard logistic regression and on penalized kernel-based algorithms (least squares support vector machines and kernel logistic regression). We used true polytomous models as well as combinations of dichotomous models based on the 'pairwise coupling' technique to produce polytomous risk estimates. Careful variable selection was performed, based largely on cross-validated c-index estimates. Model performance was assessed with the dichotomous c-index (i.e. the area under the ROC curve) and a polytomous extension, and with calibration graphs.
Results: For all models, between 9 and 11 predictors were selected. Internal validation was successful with polytomous c-indexes between 0.64 and 0.69. For the best model dichotomous c-indexes were between 0.73 (primary invasive vs metastatic) and 0.96 (borderline vs metastatic). On temporal and external validation, overall discrimination performance was good with polytomous c-indexes between 0.57 and 0.64. However, discrimination between primary and metastatic invasive tumors decreased to near random levels. Standard logistic regression performed well in comparison with advanced algorithms, and combining dichotomous models performed well in comparison with true polytomous models. The best model was a combination of dichotomous logistic regression models. This model is available online.
Conclusions: We have developed models that successfully discriminate between benign, borderline, and invasive ovarian tumors. Methodologically, the combination of dichotomous models was an interesting approach to tackle the polytomous problem. Standard logistic regression models were not outperformed by regularized kernel-based alternatives, a finding to which the careful variable selection procedure will have contributed. The random discrimination between primary and metastatic invasive tumors on temporal/external validation demonstrated once more the necessity of validation studies."
643,20957429,Breast Cancer Res Treat,3,"CGR has limited discriminatory accuracy. However, the use of a genomic risk term to adjust model-derived estimates has the potential to alter individual recommendations. These observations warrant investigation to evaluate the calibration of adjusted risk estimates.",,Logistic Regression,0.553,,,,,development,"Snps, Age, Ethnicity",,2011,America,USA,Breast Cancer,"Several single nucleotide polymorphisms (SNPs) are associated with an increased risk of breast cancer. The clinical utility of genotyping individuals at these loci is not known. Subjects were 519 unaffected women without BRCA mutations. Gail, Claus, and IBIS models were used to estimate absolute breast cancer risks. Subjects were then genotyped at 15 independent risk loci. Published per-allele and genotype-specific odds ratios were used to calculate the composite cumulative genomic risk (CGR) for each subject. Affected age- and ethnicity-matched BRCA mutation-negative women were also genotyped as a comparison group for the calculation of discriminatory accuracy. The CGR was used to adjust absolute breast cancer risks calculated by Gail, Claus and IBIS models to determine the proportion of subjects whose recommendations for chemoprevention or MRI screening might be altered (reclassified) by such adjustment. Mean lifetime breast cancer risks calculated using the Gail, Claus, and IBIS models were 19.4, 13.0, and 17.7%, respectively. CGR did not correlate with breast cancer risk as calculated using any model. CGR was significantly higher in affected women (mean 3.35 vs. 3.12, P = 0.009). The discriminatory accuracy of the CGR alone was 0.55 (SE 0.019; P = 0.006). CGR adjustment of model-derived absolute risk estimates would have altered clinical recommendations for chemoprevention in 11-19% of subjects and for MRI screening in 8-32%. CGR has limited discriminatory accuracy. However, the use of a genomic risk term to adjust model-derived estimates has the potential to alter individual recommendations. These observations warrant investigation to evaluate the calibration of adjusted risk estimates."
644,20956782,J Natl Cancer Inst,9.9,Combining validated common genetic risk factors with clinical risk factors resulted in modest improvement in classification of breast cancer risks in white non Hispanic postmenopausal women. Classification performance was further improved by focusing on women at intermediate risk.,,Logistic Regression,0.594,,,,,development,"Snps, Er Status, Age At Screening, Age At Menarche, Age At Birth Of First Child, Age At Menopause, First-degree Relatives With Breast Cancer, Number Of Previous Breast Biopsies",,2010,America,USA,Breast Cancer,"Background: The Gail model is widely used for the assessment of risk of invasive breast cancer based on recognized clinical risk factors. In recent years, a substantial number of single-nucleotide polymorphisms (SNPs) associated with breast cancer risk have been identified. However, it remains unclear how to effectively integrate clinical and genetic risk factors for risk assessment.
Methods: Seven SNPs associated with breast cancer risk were selected from the literature and genotyped in white non-Hispanic women in a nested case-control cohort of 1664 case patients and 1636 control subjects within the Women's Health Initiative Clinical Trial. SNP risk scores were computed based on previously published odds ratios assuming a multiplicative model. Combined risk scores were calculated by multiplying Gail risk estimates by the SNP risk scores. The independence of Gail risk and SNP risk was evaluated by logistic regression. Calibration of relative risks was evaluated using the Hosmer-Lemeshow test. The performance of the combined risk scores was evaluated using receiver operating characteristic curves. The net reclassification improvement (NRI) was used to assess improvement in classification of women into low (<1.5%), intermediate (1.5%-2%), and high (>2%) categories of 5-year risk. All tests of statistical significance were two-sided.
Results: The SNP risk score was nearly independent of Gail risk. There was good agreement between predicted and observed SNP relative risks. In the analysis for receiver operating characteristic curves, the combined risk score was more discriminating, with area under the curve of 0.594 compared with area under the curve of 0.557 for Gail risk alone (P < .001). Classification also improved for 5.6% of case patients and 2.9% of control subjects, showing an NRI value of 0.085 (P = 1.0 脳 10鈦烩伒). Focusing on women with intermediate Gail risk resulted in an improved NRI of 0.195 (P = 8.6 脳 10鈦烩伒).
Conclusions: Combining validated common genetic risk factors with clinical risk factors resulted in modest improvement in classification of breast cancer risks in white non-Hispanic postmenopausal women. Classification performance was further improved by focusing on women at intermediate risk."
645,20947244,Eur Urol,25.3,"Both Chun__ nomogram and the PCPT calculator, by incorporating PCA3, can assist in the decision to biopsy by assignment of an individual risk of PCa, specifically in the PSA levels",the updated PCPT calculator,Logistic Regression,0.796,,,,,development,"Pca3, Prostate Specific Antigen, And Prostate Volume",,2011,Europe,Italy,Prostate Cancer,"Background: Prostate cancer antigen 3 (PCA3) holds promise in diagnosing prostate cancer (PCa), but no consensus has been reached on its clinical use. Multivariable predictive models have shown increased accuracy over individual risk factors.
Objective: To compare the performance of the two available risk estimators incorporating PCA3 in the detection of PCa in the ""grey area"" of prostate-specific antigen (PSA) <10 ng/ml: the updated Prostate Cancer Prevention Trial (PCPT) calculator and Chun's nomogram.
Design, setting, and participants: Two hundred eighteen patients presenting with an abnormal PSA (excluding those with PSA >10 ng/ml) and/or abnormal digital rectal examination were prospectively enrolled in a multicentre Italian study between October 2008 and October 2009. All patients underwent 鈮12-core prostate biopsy.
Measurements: PCA3 scores were assessed using the Progensa assay (Gen-Probe, San Diego, CA, USA). Comparisons between the two models were performed using tests of accuracy (area under the receiver operating characteristic curve [AUC-ROC]), calibration plots, and decision curve analysis. Biopsy predictors were identified by univariable and multivariable logistic regression. In addition, performance of PCA3 was analysed through AUC-ROC and predictive values.
Results and limitations: PCa was detected in 73 patients (33.5%). Among predictors included in the models, only PCA3, PSA, and prostate volume retained significant predictive value. AUC-ROC was higher for the updated PCPT calculator compared to Chun's nomogram (79.6% vs 71.5%; p=0.043); however, Chun's nomogram displayed better overall calibration and a higher net benefit on decision curve analysis. Using a probability threshold of 25%, no high-grade cancers would be missed; the PCPT calculator would save 11% of biopsies, missing no cancer, whereas Chun's nomogram would save 22% of avoidable biopsies, although missing 4.1% non-high-grade cancers. The small number of patients may account for the lack of statistical significance in the predictive value of individual variables or model comparison.
Conclusions: Both Chun's nomogram and the PCPT calculator, by incorporating PCA3, can assist in the decision to biopsy by assignment of an individual risk of PCa, specifically in the PSA levels <10 ng/ml."
646,20947244,Eur Urol,25.3,"Both Chun's nomogram and the PCPT calculator, by incorporating PCA3, can assist in the decision to biopsy by assignment of an individual risk of PCa, specifically in the PSA levels",Chun's nomogram,Logistic Regression,0.715,,,,,development,"Pca3, Prostate Specific Antigen, And Prostate Volume",,2011,Europe,Italy,Prostate Cancer,"Background: Prostate cancer antigen 3 (PCA3) holds promise in diagnosing prostate cancer (PCa), but no consensus has been reached on its clinical use. Multivariable predictive models have shown increased accuracy over individual risk factors.
Objective: To compare the performance of the two available risk estimators incorporating PCA3 in the detection of PCa in the ""grey area"" of prostate-specific antigen (PSA) <10 ng/ml: the updated Prostate Cancer Prevention Trial (PCPT) calculator and Chun's nomogram.
Design, setting, and participants: Two hundred eighteen patients presenting with an abnormal PSA (excluding those with PSA >10 ng/ml) and/or abnormal digital rectal examination were prospectively enrolled in a multicentre Italian study between October 2008 and October 2009. All patients underwent 鈮12-core prostate biopsy.
Measurements: PCA3 scores were assessed using the Progensa assay (Gen-Probe, San Diego, CA, USA). Comparisons between the two models were performed using tests of accuracy (area under the receiver operating characteristic curve [AUC-ROC]), calibration plots, and decision curve analysis. Biopsy predictors were identified by univariable and multivariable logistic regression. In addition, performance of PCA3 was analysed through AUC-ROC and predictive values.
Results and limitations: PCa was detected in 73 patients (33.5%). Among predictors included in the models, only PCA3, PSA, and prostate volume retained significant predictive value. AUC-ROC was higher for the updated PCPT calculator compared to Chun's nomogram (79.6% vs 71.5%; p=0.043); however, Chun's nomogram displayed better overall calibration and a higher net benefit on decision curve analysis. Using a probability threshold of 25%, no high-grade cancers would be missed; the PCPT calculator would save 11% of biopsies, missing no cancer, whereas Chun's nomogram would save 22% of avoidable biopsies, although missing 4.1% non-high-grade cancers. The small number of patients may account for the lack of statistical significance in the predictive value of individual variables or model comparison.
Conclusions: Both Chun's nomogram and the PCPT calculator, by incorporating PCA3, can assist in the decision to biopsy by assignment of an individual risk of PCa, specifically in the PSA levels <10 ng/ml."
647,20890721,J Med Syst,3.5,"This paper presents an on-line tool (called Breast Alert) to calculate the lifetime breast cancer risk for women using a proposed model.With Breast Alert, physicians can make a quick screening for women when they consult.It is easy to use and intuitive.In a few minutes, physicians can have a lifetime breast cancer risk.",Breast Alert,Logistic Regression,,,,,,development,"Age, 1a Mestruation, Height, Width, Genetic Testing, Children, Menopausal",,2012,America,USA,Breast Cancer,"Breast Cancer is an important disease that affects many women, excluding self-examination and screening by mammogram, nothing helps women or their physicians to know what risk they run of suffering from breast cancer during the course of their lives. There have been many studies detailing the relative risks of breast cancer based on different factors and applications to calculate the breast cancer risk, but none implemented in a way to show lifetime risk. This paper presents an on-line tool (called Breast Alert) to calculate the lifetime breast cancer risk for women using a proposed model. With Breast Alert, physicians can make a quick screening for women when they consult. It is easy to use and intuitive. In a few minutes, physicians can have a lifetime breast cancer risk. This tool does not replace tests like self-examination, breast screening or detection by other options, but allows for the proper precautions to be taken and calls attention to the expected lifetime risk. Nowadays, 300 women (between 20 and 75 years old) from different countries have used the system and most of them (80%) have a higher than normal chance of contracting breast cancer. With these results, it is important to alert of the importance to make an early prevention of breast cancer in different women groups."
